rank,player,team,position,age,tier,trend,value
306,Albert Okwuegbunam,DEN,TE40,25.2,Tier 21,13d,922
307,Gardner Minshew,IND,QB47,27.2,Tier 21,25d,920
308,DeVante Parker,NEP,WR108,30.5,Tier 21,8d,916
309,Corey Davis,NYJ,WR109,28.5,Tier 21,3d,913
310,Devin Duvernay,BAL,WR110,25.8,Tier 21,10d,908
311,Joshua Kelley,LAC,RB85,25.7,Tier 21,6d,905
312,2023 Mid 4th,,PICK,,Tier 21,2u,886
313,Foster Moreau,NOS,TE41,26.2,Tier 21,18d,885
314,Cordarrelle Patterson,ATL,RB86,32.3,Tier 21,5u,868
315,Robert Woods,HOU,WR111,31.3,Tier 21,12d,851
316,Zonovan Knight,NYJ,RB87,22.3,Tier 21,14d,840
317,Charlie Jones,CIN,WR112,24.7,Tier 21,0,839
318,Kene Nwangwu,MIN,RB88,25.4,Tier 21,0,838
319,Davis Mills,HOU,QB48,24.8,Tier 21,6d,816
320,Dyami Brown,WAS,WR113,23.7,Tier 21,12u,815
321,Parker Washington,JAC,WR114,21.3,Tier 21,8u,814
322,Leonard Fournette,FA,RB89,28.5,Tier 21,47d,809
323,Cole Turner,WAS,TE42,23.4,Tier 21,19u,809
324,Rico Dowdle,DAL,RB90,25.1,Tier 21,148u,806
325,Jameis Winston,NOS,QB49,29.5,Tier 21,16d,770
326,Taylor Heinicke,ATL,QB50,30.4,Tier 21,5d,769
327,2023 Late 4th,,PICK,,Tier 21,12u,754
328,Allen Robinson,PIT,WR115,29.9,Tier 21,8d,753
329,Jordan Mason,SFO,RB91,24.2,Tier 21,4d,751
330,2025 Early 4th,,PICK,,Tier 21,8d,742
331,Kevin Harris,NEP,RB92,22.7,Tier 21,35d,741
332,Ke'Shawn Vaughn,TBB,RB93,26.2,Tier 21,26u,735
333,2024 Mid 4th,,PICK,,Tier 21,10d,731
334,Kendrick Bourne,NEP,WR116,28.0,Tier 21,1u,729
335,Chase Edmonds,TBB,RB94,27.3,Tier 21,19u,725
336,Elijah Higgins,MIA,TE43,22.7,Tier 21,15u,724
337,Dontayvion Wicks,GBP,WR117,22.1,Tier 21,11u,721
338,KJ Hamler,DEN,WR118,24.0,Tier 21,54d,707
339,Mike White,MIA,QB51,28.3,Tier 21,41d,703
340,Brenton Strange,JAC,TE44,22.6,Tier 21,13d,695
341,Tre Tucker,LVR,WR119,22.4,Tier 21,5u,665
342,2024 Late 4th,,PICK,,Tier 21,7u,663
343,Marquez Callaway,DEN,WR120,25.3,Tier 21,21u,660
344,Adam Trautman,DEN,TE45,26.4,Tier 21,40u,654
345,Demetric Felton,CLE,RB95,25.0,Tier 21,63u,647
346,Taysom Hill,NOS,TE46,32.9,Tier 21,39d,644
347,Donald Parham,LAC,TE47,25.9,Tier 21,16d,643
348,Hassan Haskins,TEN,RB96,23.6,Tier 21,30u,638
349,2025 Mid 4th,,PICK,,Tier 21,1u,634
350,Quez Watkins,PHI,WR121,25.1,Tier 21,3d,631
351,Isaiah McKenzie,IND,WR122,28.3,Tier 21,9d,629
352,Mack Hollins,ATL,WR123,29.8,Tier 21,38u,617
353,Josh Reynolds,DET,WR124,28.4,Tier 21,0,599
354,Jauan Jennings,SFO,WR125,26.0,Tier 21,20u,591
355,Brevin Jordan,HOU,TE48,23.0,Tier 21,11d,588
356,Noah Brown,HOU,WR126,26.0,Tier 21,4u,585
357,Jeremy Ruckert,NYJ,TE49,22.9,Tier 21,1d,580
358,Justice Hill,BAL,RB97,25.7,Tier 21,19u,576
359,D'Ernest Johnson,JAC,RB98,27.4,Tier 21,13u,571
360,DeeJay Dallas,SEA,RB99,24.8,Tier 21,53u,567
361,Denzel Mims,NYJ,WR127,25.8,Tier 21,37d,553
362,Peyton Hendershot,DAL,TE50,24.2,Tier 21,26d,551
363,Justin Shorter,BUF,WR128,23.3,Tier 21,0,550
