rank,player,team,position,age,tier,trend,rating
318,Taylor Heinicke,ATL,QB46,30.4,Tier 22,6d,883
319,Jordan Mason,SFO,RB90,24.2,Tier 22,21u,874
320,Allen Robinson,PIT,WR113,29.9,Tier 22,21d,872
321,Clayton Tune,ARI,QB47,24.3,Tier 22,32d,851
322,Jameis Winston,NOS,QB48,29.5,Tier 22,2d,835
323,2024 Mid 4th,,PICK,,Tier 22,4d,835
324,Tyrion Davis-Price,SFO,RB91,22.7,Tier 22,5u,833
325,Dorian Thompson-Robinson,CLE,QB49,23.7,Tier 22,31u,831
326,Parker Washington,JAC,WR114,21.3,Tier 22,3d,820
327,Taysom Hill,NOS,TE42,32.9,Tier 22,22d,818
328,Charlie Jones,CIN,WR115,24.7,Tier 22,30d,796
329,Isaiah McKenzie,IND,WR116,28.3,Tier 22,10u,786
330,2023 Late 4th,,PICK,,Tier 22,3d,786
331,Brevin Jordan,HOU,TE43,23.0,Tier 22,19u,778
332,Marquez Callaway,DEN,WR117,25.3,Tier 22,30u,759
333,2024 Late 4th,,PICK,,Tier 22,8u,753
334,Dontayvion Wicks,GBP,WR118,22.1,Tier 22,5d,753
335,Cordarrelle Patterson,ATL,RB92,32.3,Tier 22,1d,750
336,Brenton Strange,JAC,TE44,22.6,Tier 22,22d,750
337,2025 Early 4th,,PICK,,Tier 22,1d,741
338,Mike White,MIA,QB50,28.3,Tier 22,28d,740
339,Mack Hollins,ATL,WR119,29.8,Tier 22,48u,737
340,Dyami Brown,WAS,WR120,23.7,Tier 22,8d,727
341,Sterling Shepard,NYG,WR121,30.4,Tier 22,18u,721
342,Kendrick Bourne,NEP,WR122,28.0,Tier 22,16d,720
343,Donald Parham,LAC,TE45,25.9,Tier 22,0,701
344,Peyton Hendershot,DAL,TE45,24.2,Tier 22,12d,701
345,D'Ernest Johnson,JAC,RB93,27.4,Tier 22,16u,698
346,Cole Turner,WAS,TE47,23.4,Tier 22,2d,684
347,Josh Reynolds,DET,WR123,28.4,Tier 22,8u,683
348,Tre Tucker,LVR,WR123,22.4,Tier 22,22u,683
349,Quez Watkins,PHI,WR125,25.1,Tier 22,12d,675
350,Aidan O'Connell,LVR,QB51,24.9,Tier 22,29d,656
351,2025 Mid 4th,,PICK,,Tier 22,2d,654
352,Justin Shorter,BUF,WR126,23.3,Tier 22,11u,649
353,Tommy Tremble,CAR,TE48,23.1,Tier 22,11u,642
354,Hassan Haskins,TEN,RB94,23.6,Tier 22,9d,640
355,Austin Hooper,LVR,TE49,28.7,Tier 22,1d,629
356,Elijah Higgins,MIA,TE49,22.7,Tier 22,15u,629
357,Ben Skowronek,LAR,WR127,26.1,Tier 22,26d,627
358,Chase Edmonds,TBB,RB95,27.3,Tier 22,7d,626
359,Jeremy Ruckert,NYJ,TE51,22.9,Tier 22,1u,623
360,DeeJay Dallas,SEA,RB96,24.8,Tier 22,56u,611
361,Zack Kuntz,NYJ,TE52,24.1,Tier 22,14d,608
362,Jarrett Stidham,DEN,QB52,27.0,Tier 22,24d,600
363,Jalen Guyton,LAC,WR128,26.1,Tier 22,4u,594
364,Justice Hill,BAL,RB97,25.7,Tier 22,21u,585
365,KJ Hamler,DEN,WR129,24.0,Tier 22,80d,584
366,Jauan Jennings,SFO,WR129,26.0,Tier 22,8d,584
367,Noah Brown,HOU,WR131,26.0,Tier 22,21d,573
368,Nick Westbrook-Ikhine,TEN,WR132,26.3,Tier 22,20d,556
369,Marvin Jones,DET,WR133,33.4,Tier 22,3d,555
370,Harrison Bryant,CLE,TE53,25.2,Tier 22,5u,546
371,Amari Rodgers,HOU,WR134,23.8,Tier 22,18d,537
372,Boston Scott,PHI,RB98,28.2,Tier 22,9u,534
373,James Robinson,FA,RB99,25.0,Tier 22,47u,533
374,Demetric Felton,CLE,RB100,25.0,Tier 22,38u,528
375,Anthony Schwartz,CLE,WR135,22.9,Tier 22,3u,521
376,Adam Trautman,DEN,TE54,26.4,Tier 22,13u,515
377,Raheem Blackshear,CAR,RB101,25.1,Tier 22,4d,515
378,Tyler Badie,DEN,RB102,23.4,Tier 22,27u,514
379,Jonnu Smith,ATL,TE55,27.9,Tier 22,10d,512
380,Rakim Jarrett,TBB,WR136,22.5,Tier 22,18u,512
381,JaMycal Hasty,JAC,RB103,26.8,Tier 22,18u,507
382,Matt Corral,CAR,QB53,24.5,Tier 22,9u,500
383,Jaret Patterson,WAS,RB104,23.6,Tier 22,23u,499
384,Tyler Johnson,LAR,WR137,24.9,Tier 22,17u,498
385,Jalen Nailor,MIN,WR138,24.4,Tier 22,28u,491
386,Julius Chestnut,TEN,RB105,22.7,Tier 22,4d,484
387,Snoop Conner,JAC,RB106,23.6,Tier 22,28u,483
388,Shi Smith,CAR,WR139,24.7,Tier 22,8u,482
389,Eno Benjamin,NOS,RB107,24.3,Tier 22,24u,481
390,Jake Haener,NOS,QB54,24.4,Tier 22,22d,481
391,2025 Late 4th,,PICK,,Tier 22,20d,478
392,Matt Breida,NYG,RB108,28.4,Tier 22,38u,476
393,Will Dissly,SEA,TE56,27.0,Tier 22,7u,471
394,Jalen Reagor,MIN,WR140,24.6,Tier 22,41u,470
395,C.J. Uzomah,NYJ,TE57,30.5,Tier 22,4d,469
396,Cedrick Wilson,MIA,WR141,27.7,Tier 22,14u,468
397,Mohamed Ibrahim,DET,RB109,24.9,Tier 22,23d,465
398,Max Duggan,LAC,QB55,22.4,Tier 22,18d,463
399,Tre' McKitty,LAC,TE58,24.5,Tier 22,27u,462
400,Demario Douglas,NEP,WR142,22.6,Tier 22,51u,462
401,Trey Sermon,PHI,RB110,24.5,Tier 22,2u,459
402,Brock Wright,DET,TE59,24.6,Tier 22,0,459
403,Danny Gray,SFO,WR143,24.3,Tier 22,12d,458
404,Robert Tonyan,CHI,TE60,29.2,Tier 22,39d,457
405,Travis Homer,CHI,RB111,25.0,Tier 22,13u,455
406,Cameron Latu,SFO,TE61,23.4,Tier 22,27d,455
407,Tre'Quan Smith,NOS,WR144,27.5,Tier 22,17u,452
408,Olamide Zaccheaus,PHI,WR144,26.0,Tier 22,21d,452
409,Keaton Mitchell,BAL,RB112,-1.0,Tier 22,19d,452
