name,team,position,age,fantasycalcId,sleeperId,mflId,value,overallRank,positionRank,trend30day
Romeo Doubs,GB,WR,23.375458401128867,2419,8121,15779,1585,152,49,296
Brandin Cooks,DAL,WR,29.928883061707253,7088,2197,11674,1577,153,50,70
Kendre Miller,NO,RB,21.21381456554414,9960,9757,UNK,1574,154,37,-237
Roschon Johnson,CHI,RB,22.572718674530694,9926,10235,UNK,1562,155,38,250
2023 Pick 2.07,null,PICK,null,10019,DP_1_6,DP_1_6,1517,156,24,3
Tank Bigsby,JAX,RB,21.99463648335236,9925,9225,UNK,1503,157,39,30
Khalil Herbert,CHI,RB,25.356280321981227,320,7608,15271,1503,158,40,90
Michael Thomas,NO,WR,30.493266619704464,17,3199,12652,1495,159,51,238
Marvin Mims,DEN,WR,21.443951554350583,9955,9494,UNK,1492,160,52,289
JuJu Smith-Schuster,NE,WR,26.7672392257103,8033,4040,13156,1458,161,53,142
2023 Pick 2.08,null,PICK,null,10020,DP_1_7,DP_1_7,1454,162,25,4
Luke Musgrave,GB,TE,22.986417305365297,9856,9481,UNK,1453,163,14,179
Chigoziem Okonkwo,TEN,TE,23.972718674435566,722,8210,15889,1452,164,15,66
Kadarius Toney,KC,WR,24.5864173082826,3404,7606,15289,1446,165,54,-341
Courtland Sutton,DEN,WR,27.887787167839928,818,5045,13630,1428,166,55,275
2026 Round 2,null,PICK,null,9663,FP_2026_2,FP_2026_2,1421,167,26,251
Cole Kmet,CHI,TE,24.471348812182903,4857,6826,14867,1411,168,16,130
Rashee Rice,KC,WR,23.350800869419075,9929,10229,UNK,1407,169,56,67
2023 Pick 2.09,null,PICK,null,10021,DP_1_8,DP_1_8,1396,170,27,5
Tank Dell,HOU,WR,23.832992647101726,9950,9502,UNK,1391,171,57,369
Josh Downs,IND,WR,22.043951551464993,9936,9500,UNK,1367,173,58,190
2023 Pick 2.10,null,PICK,null,10022,DP_1_9,DP_1_9,1343,174,29,6
Nico Collins,HOU,WR,24.44669128053653,5030,7569,15290,1318,175,59,69
Jayden Reed,GB,WR,23.33436251379376,9863,10222,UNK,1316,176,60,51
Ryan Tannehill,TEN,QB,35.09600634931507,2313,1049,10697,1309,177,32,246
2023 Pick 2.11,null,PICK,null,10023,DP_1_10,DP_1_10,1293,178,30,6
Odell Beckham,BAL,WR,30.816554291666666,2245,2078,11679,1287,179,61,50
Will Levis,TEN,QB,24.172718677828513,9901,9999,UNK,1275,180,33,-418
Jaylen Warren,PIT,RB,24.82477346962202,6285,8228,15742,1258,181,41,129
2023 Pick 2.12,null,PICK,null,10024,DP_1_11,DP_1_11,1247,182,31,6
Tyjae Spears,TEN,RB,22.20285566146626,9817,9508,UNK,1246,183,42,54
John Metchie,HOU,WR,23.112444705511162,3812,8147,15759,1246,184,62,116
2025 Round 2,null,PICK,null,9633,FP_2025_2,FP_2025_2,1225,185,32,20
Justyn Ross,KC,WR,23.704225523845764,2949,8140,15763,1216,186,63,55
Ezekiel Elliott,NE,RB,28.10696525301243,2848,3164,12625,1205,187,43,244
2023 Pick 3.01,null,PICK,null,10043,DP_2_0,DP_2_0,1204,188,33,6
Darnell Mooney,CHI,WR,25.83299264786276,3901,7090,14974,1203,189,64,58
Baker Mayfield,TB,QB,28.37819812988331,2737,4892,13590,1200,190,34,64
Jamaal Williams,NO,RB,28.40833511282344,4085,4149,13139,1195,191,44,54
2023 Pick 3.02,null,PICK,null,10044,DP_2_1,DP_2_1,1164,192,34,6
Kenneth Gainwell,PHI,RB,24.460389908073314,4476,7567,15255,1163,193,45,395
Dalton Schultz,HOU,TE,27.13436250799087,4655,5001,13772,1159,194,17,-179
Devin Singletary,HOU,RB,25.98641730825089,8347,6130,14080,1157,195,46,160
Dawson Knox,BUF,TE,26.789157034246575,1787,5906,14143,1155,196,18,65
Rashaad Penny,PHI,RB,27.572718677669965,1472,4985,13608,1153,197,47,-89
Wan'Dale Robinson,NYG,WR,22.643951551433283,4091,8126,15757,1147,198,65,189
Deuce Vaughn,DAL,RB,21.81929401686961,9900,9505,UNK,1138,199,48,713
Tyler Allgeier,ATL,RB,23.369978951737696,6408,8132,15712,1138,200,49,-289
Greg Dulcich,DEN,TE,23.424773469273212,3550,8172,15797,1136,201,19,-337
2023 Pick 3.03,null,PICK,null,10045,DP_2_2,DP_2_2,1127,202,35,7
Samaje Perine,DEN,RB,27.95354059300482,3463,4147,13133,1113,203,50,-35
Juwan Johnson,NO,TE,26.959020041825216,5552,7002,14861,1101,204,20,124
2023 Pick 3.04,null,PICK,null,10046,DP_2_3,DP_2_3,1092,205,36,7
Tyler Higbee,LAR,TE,30.660389910673516,5467,3271,12678,1089,206,21,-28
Tyler Boyd,CIN,WR,28.789157034278286,5860,3225,12650,1084,207,66,-7
Alec Pierce,IND,WR,23.323403609208523,5433,8142,15768,1084,208,67,-59
Jakobi Meyers,LV,WR,26.802855664129883,2463,5947,14127,1082,209,68,-119
Kareem Hunt,null,RB,28.065869359620752,6621,4098,13138,1077,210,51,193
Elijah Mitchell,SF,RB,25.326143335648148,2660,7561,15263,1066,211,52,-97
Rondale Moore,ARI,WR,23.219294020579657,2214,7601,15283,1060,212,69,-212
2023 Pick 3.05,null,PICK,null,10047,DP_2_4,DP_2_4,1059,213,37,7
Allen Lazard,NYJ,WR,27.717924157534245,5460,5185,13632,1049,214,70,-110
